country,year,population,continent,life_exp,gdp_cap
China,1952,556263527,Asia,44,400.448611
China,1957,637408000,Asia,50.54896,575.9870009
China,1962,665770000,Asia,44.50136,487.6740183
China,1967,754550000,Asia,58.38112,612.7056934
China,1972,862030000,Asia,63.11888,676.9000921
China,1977,943455000,Asia,63.96736,741.2374699
China,1982,1000281000,Asia,65.525,962.4213805
China,1987,1084035000,Asia,67.274,1378.904018
China,1992,1164970000,Asia,68.69,1655.784158
China,1997,1230075000,Asia,70.426,2289.234136
China,2002,1280400000,Asia,72.028,3119.280896
China,2007,1318683096,Asia,72.961,4959.114854
United States,1952,157553000,Americas,68.44,13990.48208
United States,1957,171984000,Americas,69.49,14847.12712
United States,1962,186538000,Americas,70.21,16173.14586
United States,1967,198712000,Americas,70.76,19530.36557
United States,1972,209896000,Americas,71.34,21806.03594
United States,1977,220239000,Americas,73.38,24072.63213
United States,1982,232187835,Americas,74.65,25009.55914
United States,1987,242803533,Americas,75.02,29884.35041
United States,1992,256894189,Americas,76.09,32003.93224
United States,1997,272911760,Americas,76.81,35767.43303
United States,2002,287675526,Americas,77.31,39097.09955
United States,2007,301139947,Americas,78.242,42951.65309
Serbia,1952,6860147,Europe,57.996,3581.459448
Serbia,1957,7271135,Europe,61.685,4981.090891
Serbia,1962,7616060,Europe,64.531,6289.629157
Serbia,1967,7971222,Europe,66.914,7991.707066
Serbia,1972,8313288,Europe,68.7,10522.06749
Serbia,1977,8686367,Europe,70.3,12980.66956
Serbia,1982,9032824,Europe,70.162,15181.0927
Serbia,1987,9230783,Europe,71.218,15870.87851
Serbia,1992,9826397,Europe,71.659,9325.068238
Serbia,1997,10336594,Europe,72.232,7914.320304
Serbia,2002,10111559,Europe,73.213,7236.075251
Serbia,2007,10150265,Europe,74.002,9786.534714
Japan,1952,86459025,Asia,63.03,3216.956347
Japan,1957,91563009,Asia,65.5,4317.694365
Japan,1962,95831757,Asia,68.73,6576.649461
Japan,1967,100825279,Asia,71.43,9847.788607
Japan,1972,107188273,Asia,73.42,14778.78636
Japan,1977,113872473,Asia,75.38,16610.37701
Japan,1982,118454974,Asia,77.11,19384.10571
Japan,1987,122091325,Asia,78.67,22375.94189
Japan,1992,124329269,Asia,79.36,26824.89511
Japan,1997,125956499,Asia,80.69,28816.58499
Japan,2002,127065841,Asia,82,28604.5919
Japan,2007,127467972,Asia,82.603,31656.06806
