movie_title,title_year,imdb_score
Avatar ,2009,7.9
Pirates of the Caribbean: At World's End ,2007,7.1
Spectre ,2015,6.8
The Dark Knight Rises ,2012,8.5
John Carter ,2012,6.6
Spider-Man 3 ,2007,6.2
Tangled ,2010,7.8
Avengers: Age of Ultron ,2015,7.5
Harry Potter and the Half-Blood Prince ,2009,7.5
Batman v Superman: Dawn of Justice ,2016,6.9
Quantum of Solace ,2008,6.7
The Lone Ranger ,2013,6.5
Man of Steel ,2013,7.2
The Chronicles of Narnia: Prince Caspian ,2008,6.6
The Avengers ,2012,8.1
Pirates of the Caribbean: On Stranger Tides ,2011,6.7
Men in Black 3 ,2012,6.8
The Hobbit: The Battle of the Five Armies ,2014,7.5
The Amazing Spider-Man ,2012,7
Robin Hood ,2010,6.7
The Hobbit: The Desolation of Smaug ,2013,7.9
The Golden Compass ,2007,6.1
Captain America: Civil War ,2016,8.2
Battleship ,2012,5.9
Jurassic World ,2015,7
Skyfall ,2012,7.8
Iron Man 3 ,2013,7.2
Alice in Wonderland ,2010,6.5
Monsters University ,2013,7.3
Transformers: Revenge of the Fallen ,2009,6
Transformers: Age of Extinction ,2014,5.7
Oz the Great and Powerful ,2013,6.4
The Amazing Spider-Man 2 ,2014,6.7
TRON: Legacy ,2010,6.8
Cars 2 ,2011,6.3
Green Lantern ,2011,5.6
Toy Story 3 ,2010,8.3
Terminator Salvation ,2009,6.6
Furious 7 ,2015,7.2
World War Z ,2013,7
X-Men: Days of Future Past ,2014,8
Star Trek Into Darkness ,2013,7.8
Jack the Giant Slayer ,2013,6.3
The Great Gatsby ,2013,7.3
Prince of Persia: The Sands of Time ,2010,6.6
Pacific Rim ,2013,7
Transformers: Dark of the Moon ,2011,6.3
Indiana Jones and the Kingdom of the Crystal Skull ,2008,6.2
The Good Dinosaur ,2015,6.8
Brave ,2012,7.2
Star Trek Beyond ,2016,7.5
WALL·E ,2008,8.4
Rush Hour 3 ,2007,6.2
2012 ,2009,5.8
A Christmas Carol ,2009,6.8
Jupiter Ascending ,2015,5.4
The Legend of Tarzan ,2016,6.6
X-Men: Apocalypse ,2016,7.3
The Dark Knight ,2008,9
Up ,2009,8.3
Monsters vs. Aliens ,2009,6.5
